Inicio log nanducho cargue archivo compras 2017-10-04 16:05:04 -0500
27/07/2017,FACT2000-0234,PVUWWSEL,8. Linea 234> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0235,PVUWWSLL,4. Linea 235> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0236,PVUWWWEL,6. Linea 236> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0237,PVUWWEWL,41. Linea 237> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0238,PVUWWWWL,27. Linea 238> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0239,PVUWWWLL,22. Linea 239> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0240,PVUWWWZL,4. Linea 240> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0241,PVGWWSA,16. Linea 241> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0242,PVGWWWZ,7. Linea 242> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0243,PVUWWWWL,24. Linea 243> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0244,PVUWWZG,17. Linea 244> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0245,PVUWWWF,11. Linea 245> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0246,PVGWSWE,381.4. Linea 246> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0247,PVGWWLZ,7. Linea 247> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0248,PVGWSWE,445.3. Linea 248> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0249,PVGWWLZ,502.9. Linea 249> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0250,PVGWWEA,15.8. Linea 250> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0251,PVGWWGA,56.3. Linea 251> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0252,PVGWWFA,152.6. Linea 252> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0253,PVGWWSA,120.7. Linea 253> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0254,PVGWWAS,10. Linea 254> compras ok| kardex ok| inventario creado ok
27/07/2017,FACT2000-0255,PVGWWSA,49. Linea 255> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0256,PVUWWWAL,1. Linea 256> compras ok| kardex ok| inventario actualizado ok
27/07/2017,FACT2000-0257,PVGWWWA,123.5. Linea 257> compras ok| kardex ok| inventario actualizado ok
